Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algérie,,,,,,,,,,,,,,,,,,,,98.7472686767578,98.8776245117188,99.0497894287109,98.7646604654583,99.5385818481445,99.8408203125,99.9313659667969,99.9900512695313,100.0,100.0
Asie de l’Est et Pacifique (hors revenu élevé),,,,,,,,,,,92.49099677860323,93.02458549495198,92.3079802068591,92.54233695378223,93.49929426324903,93.17832180115418,94.25348887176601,94.29269490503646,94.74152250183687,94.56388422822089,95.08797356052669,95.71123019094439,96.04336559396826,96.22171995518691,96.37909931834845,96.81713547157705,96.9662395813656,97.62668001465369,97.77079417580231
de dividende précoce démographique,,,,55.01228229190064,55.087300127372934,57.040167554969074,58.884498204850814,61.03707403642423,62.74362579435005,65.71265782070556,65.30625621387496,64.81109695356777,68.18348554511753,69.31688311764984,70.10661222767388,70.89947704035657,72.64935006611417,75.35819653217135,75.28072152987845,77.22268836152772,78.65990204141161,75.24820572353981,81.38001830254082,81.89503148880868,82.97035705730148,85.74642625572415,87.27512649514915,89.61682591514021,90.72465217064739
Asie de l’Est et Pacifique,,,,,,,,,,,93.30342289382267,93.77647443536138,93.11459474421002,93.32127292621256,94.17534622597942,93.88454377263915,94.84659999500461,94.8800121953428,95.28189667819333,95.10767694992168,95.57786099874191,96.13738593526269,96.43510178293054,96.59430813438846,96.73487363454429,97.12874889274039,97.26212051094753,97.85712330918547,97.98643365818342
Europe et Asie centrale (hors revenu élevé),,,,,,,,,,,,,99.83314848520077,99.86767469943153,99.83294937504127,99.8322282132383,99.85233281510037,99.83143070417917,99.85932009126853,99.9051932831584,99.8937902680469,99.91450795719562,99.94373215332611,99.95241687953558,99.96082192206848,98.28773371777184,99.98221079629458,99.98336817769268,99.98397075192443
Europe et Asie centrale,100.0,100.0,100.0,100.0,100.0,99.99762396599326,99.95496081701411,99.94730938585649,99.95256376286976,99.85858424417826,99.9331756192942,99.93784469488853,99.94419360485848,99.95588529355251,99.9444756744467,99.93767157394771,99.94505856290289,99.9374217403367,99.94784687744658,99.96485196131458,99.95499772658196,99.96364237945349,99.97591499491874,99.97959262810869,99.98316660788075,99.26281396987157,99.97285619151891,99.99281029369894,99.99305848958053
Équateur,,,,,,89.830167,91.9264602661133,92.3253021240234,92.726642,93.071434,93.5229873657227,93.9085388183594,94.2798080444336,94.973044,94.9616165161133,95.83265,96.315259,96.812618,97.206576,96.470862,97.462142,96.872699,97.194929,98.034674,98.976067,98.825883,98.7,99.2,100.0
"Égypte, République arabe d’",,,93.4,95.42431640625,95.6652984619141,95.5,96.1532516479492,96.4014205932617,96.6523361206055,96.9023742675781,97.7,97.3819427490234,97.6025390625,98.8,97.9829864501953,99.4,99.04,98.4070358276367,99.8,98.7057266235352,99.1528930664063,99.4522476196289,99.7,99.731201171875,99.8,99.3,100.0,100.0,100.0
Zone euro,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Érythrée,,,,,,22.9,24.7169399261475,25.8440742492676,26.9739570617676,28.1029624938965,29.2266216278076,30.3404655456543,32.2,32.5208282470703,33.5784111022949,34.6109733581543,35.6274261474609,36.6393585205078,37.6583442687988,38.6959800720215,39.7638397216797,40.8735122680664,42.0331687927246,43.2373199462891,44.4770736694336,45.7435188293457,47.0277671813965,48.320915222168,49.6155433654785
